Address,restaurantNumber,restaurantName,Meal Name,Meal Price,Meal Delivery Price
7515 S University Blvd,189,Dry Creek,Fan Favorite Steak Salad,13.35,17.35
7515 S University Blvd,189,Dry Creek,Veggie Full Bowl,8.9,11.55
7515 S University Blvd,189,Dry Creek,Fan Favorite Veggie Burrito,8.9,11.55
7515 S University Blvd,189,Dry Creek,Plant Powered Bowl,11.6,15.05
7515 S University Blvd,189,Dry Creek,Go Half Veggie Bowl,8.9,11.55
14255 W Colfax Ave Ste A,503,Colorado Mills,Balanced Macros Bowl,12.0,15.6
14255 W Colfax Ave Ste A,503,Colorado Mills,Most Popular Chicken al Pastor Bowl,9.85,12.8
14255 W Colfax Ave Ste A,503,Colorado Mills,Wholesome Bowl,12.0,15.6
14255 W Colfax Ave Ste A,503,Colorado Mills,Keto Salad Bowl,9.35,12.15
14255 W Colfax Ave Ste A,503,Colorado Mills,High Protein Bowl,13.05,16.95
14255 W Colfax Ave Ste A,503,Colorado Mills,Fan Favorite Chicken Bowl,10.95,14.25
14255 W Colfax Ave Ste A,503,Colorado Mills,Fan Favorite Steak Salad,13.75,17.9
14255 W Colfax Ave Ste A,503,Colorado Mills,Veggie Full Bowl,9.35,12.15
14255 W Colfax Ave Ste A,503,Colorado Mills,Fan Favorite Veggie Burrito,9.35,12.15
14255 W Colfax Ave Ste A,503,Colorado Mills,Plant Powered Bowl,12.0,15.6
14255 W Colfax Ave Ste A,503,Colorado Mills,Go Half Veggie Bowl,9.35,12.15
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Balanced Macros Bowl,12.25,15.95
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Most Popular Chicken al Pastor Bowl,10,13
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Wholesome Bowl,12.25,15.95
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Keto Salad Bowl,9.5,12.35
1125 W Rancho Vista Blvd Ste B,326,Palmdale,High Protein Bowl,13.25,17.25
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Fan Favorite Chicken Bowl,11.1,14.45
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Fan Favorite Steak Salad,14.0,18.25
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Veggie Full Bowl,9.5,12.35
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Fan Favorite Veggie Burrito,9.5,12.35
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Plant Powered Bowl,12.25,15.95
1125 W Rancho Vista Blvd Ste B,326,Palmdale,Go Half Veggie Bowl,9.5,12.35
10811 Foothill Blvd,215,Rancho Cucamonga,Balanced Macros Bowl,12.4,16.15
10811 Foothill Blvd,215,Rancho Cucamonga,Most Popular Chicken al Pastor Bowl,10.1,13.15
10811 Foothill Blvd,215,Rancho Cucamonga,Wholesome Bowl,12.4,16.15
10811 Foothill Blvd,215,Rancho Cucamonga,Keto Salad Bowl,9.6,12.5
10811 Foothill Blvd,215,Rancho Cucamonga,High Protein Bowl,13.35,17.4
10811 Foothill Blvd,215,Rancho Cucamonga,Fan Favorite Chicken Bowl,11.2,14.6
10811 Foothill Blvd,215,Rancho Cucamonga,Fan Favorite Steak Salad,14.15,18.4
10811 Foothill Blvd,215,Rancho Cucamonga,Veggie Full Bowl,9.6,12.5
10811 Foothill Blvd,215,Rancho Cucamonga,Fan Favorite Veggie Burrito,9.6,12.5
10811 Foothill Blvd,215,Rancho Cucamonga,Plant Powered Bowl,12.4,16.15
10811 Foothill Blvd,215,Rancho Cucamonga,Go Half Veggie Bowl,9.6,12.5
2224 E Williams Field Rd Ste 109,1798,SanTan,Balanced Macros Bowl,11.8,15.35
2224 E Williams Field Rd Ste 109,1798,SanTan,Most Popular Chicken al Pastor Bowl,9.6,12.5
2224 E Williams Field Rd Ste 109,1798,SanTan,Wholesome Bowl,11.8,15.35
2224 E Williams Field Rd Ste 109,1798,SanTan,Keto Salad Bowl,9.1,11.85
2224 E Williams Field Rd Ste 109,1798,SanTan,High Protein Bowl,12.65,16.45
2224 E Williams Field Rd Ste 109,1798,SanTan,Fan Favorite Chicken Bowl,10.8,14.05
2224 E Williams Field Rd Ste 109,1798,SanTan,Fan Favorite Steak Salad,13.55,17.6
2224 E Williams Field Rd Ste 109,1798,SanTan,Veggie Full Bowl,9.1,11.85
2224 E Williams Field Rd Ste 109,1798,SanTan,Fan Favorite Veggie Burrito,9.1,11.85
2224 E Williams Field Rd Ste 109,1798,SanTan,Plant Powered Bowl,11.8,15.35
2224 E Williams Field Rd Ste 109,1798,SanTan,Go Half Veggie Bowl,9.1,11.85
10510 Stockdale Hwy,1588,River Walk Bakersfield,Balanced Macros Bowl,12.4,16.15
10510 Stockdale Hwy,1588,River Walk Bakersfield,Most Popular Chicken al Pastor Bowl,10.1,13.15
10510 Stockdale Hwy,1588,River Walk Bakersfield,Wholesome Bowl,12.4,16.15
10510 Stockdale Hwy,1588,River Walk Bakersfield,Keto Salad Bowl,9.6,12.5
10510 Stockdale Hwy,1588,River Walk Bakersfield,High Protein Bowl,13.35,17.4
10510 Stockdale Hwy,1588,River Walk Bakersfield,Fan Favorite Chicken Bowl,11.2,14.6
10510 Stockdale Hwy,1588,River Walk Bakersfield,Fan Favorite Steak Salad,14.15,18.4
10510 Stockdale Hwy,1588,River Walk Bakersfield,Veggie Full Bowl,9.6,12.5
10510 Stockdale Hwy,1588,River Walk Bakersfield,Fan Favorite Veggie Burrito,9.6,12.5
10510 Stockdale Hwy,1588,River Walk Bakersfield,Plant Powered Bowl,12.4,16.15
10510 Stockdale Hwy,1588,River Walk Bakersfield,Go Half Veggie Bowl,9.6,12.5
14925 Shady Grove Rd Unit L,293,Falls Grove,Balanced Macros Bowl,12.15,15.8
14925 Shady Grove Rd Unit L,293,Falls Grove,Most Popular Chicken al Pastor Bowl,9.95,12.95
14925 Shady Grove Rd Unit L,293,Falls Grove,Wholesome Bowl,12.15,15.8
14925 Shady Grove Rd Unit L,293,Falls Grove,Keto Salad Bowl,9.45,12.3
14925 Shady Grove Rd Unit L,293,Falls Grove,High Protein Bowl,13.25,17.25
14925 Shady Grove Rd Unit L,293,Falls Grove,Fan Favorite Chicken Bowl,11.15,14.5
14925 Shady Grove Rd Unit L,293,Falls Grove,Fan Favorite Steak Salad,13.9,18.05
14925 Shady Grove Rd Unit L,293,Falls Grove,Veggie Full Bowl,9.45,12.3
14925 Shady Grove Rd Unit L,293,Falls Grove,Fan Favorite Veggie Burrito,9.45,12.3
14925 Shady Grove Rd Unit L,293,Falls Grove,Plant Powered Bowl,12.15,15.8
14925 Shady Grove Rd Unit L,293,Falls Grove,Go Half Veggie Bowl,9.45,12.3
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Balanced Macros Bowl,12.15,15.8
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Most Popular Chicken al Pastor Bowl,9.95,12.95
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Wholesome Bowl,12.15,15.8
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Keto Salad Bowl,9.45,12.3
815 E Baseline Rd Ste 118,1322,Rural & Baseline,High Protein Bowl,13.25,17.25
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Fan Favorite Chicken Bowl,11.15,14.5
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Fan Favorite Steak Salad,13.9,18.05
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Veggie Full Bowl,9.45,12.3
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Fan Favorite Veggie Burrito,9.45,12.3
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Plant Powered Bowl,12.15,15.8
815 E Baseline Rd Ste 118,1322,Rural & Baseline,Go Half Veggie Bowl,9.45,12.3
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Balanced Macros Bowl,11.95,15.55
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Most Popular Chicken al Pastor Bowl,9.75,12.7
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Wholesome Bowl,11.95,15.55
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Keto Salad Bowl,9.25,12.05
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,High Protein Bowl,12.9,16.8
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Fan Favorite Chicken Bowl,10.95,14.25
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Fan Favorite Steak Salad,13.7,17.8
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Veggie Full Bowl,9.25,12.05
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Fan Favorite Veggie Burrito,9.25,12.05
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Plant Powered Bowl,11.95,15.55
2209 W Wildcat Reserve Pkwy Unit E1A,755,Wildcat,Go Half Veggie Bowl,9.25,12.05
3440 E Baseline Rd Ste 104,1710,Dana Park,Balanced Macros Bowl,12.15,15.8
3440 E Baseline Rd Ste 104,1710,Dana Park,Most Popular Chicken al Pastor Bowl,9.95,12.95
3440 E Baseline Rd Ste 104,1710,Dana Park,Wholesome Bowl,12.15,15.8
3440 E Baseline Rd Ste 104,1710,Dana Park,Keto Salad Bowl,9.45,12.3
3440 E Baseline Rd Ste 104,1710,Dana Park,High Protein Bowl,13.25,17.25
3440 E Baseline Rd Ste 104,1710,Dana Park,Fan Favorite Chicken Bowl,11.15,14.5
3440 E Baseline Rd Ste 104,1710,Dana Park,Fan Favorite Steak Salad,13.9,18.05
3440 E Baseline Rd Ste 104,1710,Dana Park,Veggie Full Bowl,9.45,12.3
3440 E Baseline Rd Ste 104,1710,Dana Park,Fan Favorite Veggie Burrito,9.45,12.3
3440 E Baseline Rd Ste 104,1710,Dana Park,Plant Powered Bowl,12.15,15.8
3440 E Baseline Rd Ste 104,1710,Dana Park,Go Half Veggie Bowl,9.45,12.3
951 E 120th Ave Unit A,264,Thornton,Balanced Macros Bowl,11.6,15.05
951 E 120th Ave Unit A,264,Thornton,Most Popular Chicken al Pastor Bowl,9.4,12.2
951 E 120th Ave Unit A,264,Thornton,Wholesome Bowl,11.6,15.05
951 E 120th Ave Unit A,264,Thornton,Keto Salad Bowl,8.9,11.55
951 E 120th Ave Unit A,264,Thornton,High Protein Bowl,12.4,16.1
951 E 120th Ave Unit A,264,Thornton,Fan Favorite Chicken Bowl,10.45,13.55
951 E 120th Ave Unit A,264,Thornton,Fan Favorite Steak Salad,13.35,17.35
951 E 120th Ave Unit A,264,Thornton,Veggie Full Bowl,8.9,11.55
951 E 120th Ave Unit A,264,Thornton,Fan Favorite Veggie Burrito,8.9,11.55
951 E 120th Ave Unit A,264,Thornton,Plant Powered Bowl,11.6,15.05
951 E 120th Ave Unit A,264,Thornton,Go Half Veggie Bowl,8.9,11.55
16241 Beach Blvd,1176,Beach Blvd.,Balanced Macros Bowl,12.0,15.6
16241 Beach Blvd,1176,Beach Blvd.,Most Popular Chicken al Pastor Bowl,9.85,12.8
16241 Beach Blvd,1176,Beach Blvd.,Wholesome Bowl,12.0,15.6
16241 Beach Blvd,1176,Beach Blvd.,Keto Salad Bowl,9.35,12.15
16241 Beach Blvd,1176,Beach Blvd.,High Protein Bowl,13.05,16.95
16241 Beach Blvd,1176,Beach Blvd.,Fan Favorite Chicken Bowl,10.95,14.25
16241 Beach Blvd,1176,Beach Blvd.,Fan Favorite Steak Salad,13.75,17.9
16241 Beach Blvd,1176,Beach Blvd.,Veggie Full Bowl,9.35,12.15
16241 Beach Blvd,1176,Beach Blvd.,Fan Favorite Veggie Burrito,9.35,12.15
16241 Beach Blvd,1176,Beach Blvd.,Plant Powered Bowl,12.0,15.6
16241 Beach Blvd,1176,Beach Blvd.,Go Half Veggie Bowl,9.35,12.15
849 W Riverdale Rd,3070,Riverdale Road,Balanced Macros Bowl,12.15,15.8
849 W Riverdale Rd,3070,Riverdale Road,Most Popular Chicken al Pastor Bowl,9.95,12.95
849 W Riverdale Rd,3070,Riverdale Road,Wholesome Bowl,12.15,15.8
849 W Riverdale Rd,3070,Riverdale Road,Keto Salad Bowl,9.45,12.3
849 W Riverdale Rd,3070,Riverdale Road,High Protein Bowl,13.25,17.25
849 W Riverdale Rd,3070,Riverdale Road,Fan Favorite Chicken Bowl,11.15,14.5
849 W Riverdale Rd,3070,Riverdale Road,Fan Favorite Steak Salad,13.9,18.05
849 W Riverdale Rd,3070,Riverdale Road,Veggie Full Bowl,9.45,12.3
849 W Riverdale Rd,3070,Riverdale Road,Fan Favorite Veggie Burrito,9.45,12.3
849 W Riverdale Rd,3070,Riverdale Road,Plant Powered Bowl,12.15,15.8
849 W Riverdale Rd,3070,Riverdale Road,Go Half Veggie Bowl,9.45,12.3
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Balanced Macros Bowl,11.6,15.05
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Most Popular Chicken al Pastor Bowl,9.4,12.2
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Wholesome Bowl,11.6,15.05
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Keto Salad Bowl,8.9,11.55
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,High Protein Bowl,12.4,16.1
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Fan Favorite Chicken Bowl,10.45,13.55
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Fan Favorite Steak Salad,13.35,17.35
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Veggie Full Bowl,8.9,11.55
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Fan Favorite Veggie Burrito,8.9,11.55
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Plant Powered Bowl,11.6,15.05
3395 W Chandler Blvd Ste 1,1718,Chandler Boulevard Shops,Go Half Veggie Bowl,8.9,11.55
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Balanced Macros Bowl,12.4,16.15
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Most Popular Chicken al Pastor Bowl,10.1,13.15
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Wholesome Bowl,12.4,16.15
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Keto Salad Bowl,9.6,12.5
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,High Protein Bowl,13.35,17.4
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Fan Favorite Chicken Bowl,11.2,14.6
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Fan Favorite Steak Salad,14.15,18.4
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Veggie Full Bowl,9.6,12.5
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Fan Favorite Veggie Burrito,9.6,12.5
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Plant Powered Bowl,12.4,16.15
16595 Sierra Lakes Pkwy Ste 100,2866,Sierra Lakes,Go Half Veggie Bowl,9.6,12.5
3966 Barranca Pkwy,1492,The Crossroads,Balanced Macros Bowl,12.0,15.6
3966 Barranca Pkwy,1492,The Crossroads,Most Popular Chicken al Pastor Bowl,9.85,12.8
3966 Barranca Pkwy,1492,The Crossroads,Wholesome Bowl,12.0,15.6
3966 Barranca Pkwy,1492,The Crossroads,Keto Salad Bowl,9.35,12.15
3966 Barranca Pkwy,1492,The Crossroads,High Protein Bowl,13.05,16.95
3966 Barranca Pkwy,1492,The Crossroads,Fan Favorite Chicken Bowl,10.95,14.25
3966 Barranca Pkwy,1492,The Crossroads,Fan Favorite Steak Salad,13.75,17.9
3966 Barranca Pkwy,1492,The Crossroads,Veggie Full Bowl,9.35,12.15
3966 Barranca Pkwy,1492,The Crossroads,Fan Favorite Veggie Burrito,9.35,12.15
3966 Barranca Pkwy,1492,The Crossroads,Plant Powered Bowl,12.0,15.6
3966 Barranca Pkwy,1492,The Crossroads,Go Half Veggie Bowl,9.35,12.15
9301 E Shea Blvd Ste 102,45,92nd & Shea,Balanced Macros Bowl,12.15,15.8
9301 E Shea Blvd Ste 102,45,92nd & Shea,Most Popular Chicken al Pastor Bowl,9.95,12.95
9301 E Shea Blvd Ste 102,45,92nd & Shea,Wholesome Bowl,12.15,15.8
9301 E Shea Blvd Ste 102,45,92nd & Shea,Keto Salad Bowl,9.45,12.3
9301 E Shea Blvd Ste 102,45,92nd & Shea,High Protein Bowl,13.25,17.25
9301 E Shea Blvd Ste 102,45,92nd & Shea,Fan Favorite Chicken Bowl,11.15,14.5
9301 E Shea Blvd Ste 102,45,92nd & Shea,Fan Favorite Steak Salad,13.9,18.05
9301 E Shea Blvd Ste 102,45,92nd & Shea,Veggie Full Bowl,9.45,12.3
9301 E Shea Blvd Ste 102,45,92nd & Shea,Fan Favorite Veggie Burrito,9.45,12.3
9301 E Shea Blvd Ste 102,45,92nd & Shea,Plant Powered Bowl,12.15,15.8
9301 E Shea Blvd Ste 102,45,92nd & Shea,Go Half Veggie Bowl,9.45,12.3
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Balanced Macros Bowl,12.4,16.15
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Most Popular Chicken al Pastor Bowl,10.1,13.15
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Wholesome Bowl,12.4,16.15
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Keto Salad Bowl,9.6,12.5
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,High Protein Bowl,13.35,17.4
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Fan Favorite Chicken Bowl,11.2,14.6
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Fan Favorite Steak Salad,14.15,18.4
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Veggie Full Bowl,9.6,12.5
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Fan Favorite Veggie Burrito,9.6,12.5
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Plant Powered Bowl,12.4,16.15
26661 Aliso Creek Rd Ste A,3372,Aliso Viejo,Go Half Veggie Bowl,9.6,12.5
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Balanced Macros Bowl,12.25,15.95
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Most Popular Chicken al Pastor Bowl,10,13
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Wholesome Bowl,12.25,15.95
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Keto Salad Bowl,9.5,12.35
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,High Protein Bowl,13.25,17.25
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Fan Favorite Chicken Bowl,11.1,14.45
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Fan Favorite Steak Salad,14.0,18.25
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Veggie Full Bowl,9.5,12.35
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Fan Favorite Veggie Burrito,9.5,12.35
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Plant Powered Bowl,12.25,15.95
145 Falcon Ridge Pkwy,4654,Falcon Ridge & I-15,Go Half Veggie Bowl,9.5,12.35
4530 S Maryland Pkwy,363,Maryland Parkway,Balanced Macros Bowl,11.1,14.45
4530 S Maryland Pkwy,363,Maryland Parkway,Most Popular Chicken al Pastor Bowl,9,11.7
4530 S Maryland Pkwy,363,Maryland Parkway,Wholesome Bowl,11.1,14.45
4530 S Maryland Pkwy,363,Maryland Parkway,Keto Salad Bowl,8.5,11.05
4530 S Maryland Pkwy,363,Maryland Parkway,High Protein Bowl,11.8,15.35
4530 S Maryland Pkwy,363,Maryland Parkway,Fan Favorite Chicken Bowl,9.95,12.95
4530 S Maryland Pkwy,363,Maryland Parkway,Fan Favorite Steak Salad,12.85,16.75
4530 S Maryland Pkwy,363,Maryland Parkway,Veggie Full Bowl,8.5,11.05
4530 S Maryland Pkwy,363,Maryland Parkway,Fan Favorite Veggie Burrito,8.5,11.05
4530 S Maryland Pkwy,363,Maryland Parkway,Plant Powered Bowl,11.1,14.45
4530 S Maryland Pkwy,363,Maryland Parkway,Go Half Veggie Bowl,8.5,11.05
4984 S Power Rd,698,Power & 202,Balanced Macros Bowl,12.15,15.8
4984 S Power Rd,698,Power & 202,Most Popular Chicken al Pastor Bowl,9.95,12.95
4984 S Power Rd,698,Power & 202,Wholesome Bowl,12.15,15.8
4984 S Power Rd,698,Power & 202,Keto Salad Bowl,9.45,12.3
4984 S Power Rd,698,Power & 202,High Protein Bowl,13.25,17.25
4984 S Power Rd,698,Power & 202,Fan Favorite Chicken Bowl,11.15,14.5
4984 S Power Rd,698,Power & 202,Fan Favorite Steak Salad,13.9,18.05
4984 S Power Rd,698,Power & 202,Veggie Full Bowl,9.45,12.3
4984 S Power Rd,698,Power & 202,Fan Favorite Veggie Burrito,9.45,12.3
4984 S Power Rd,698,Power & 202,Plant Powered Bowl,12.15,15.8
4984 S Power Rd,698,Power & 202,Go Half Veggie Bowl,9.45,12.3
575 Ritchie Hwy,1168,Severna Park,Balanced Macros Bowl,12.15,15.8
575 Ritchie Hwy,1168,Severna Park,Most Popular Chicken al Pastor Bowl,9.95,12.95
575 Ritchie Hwy,1168,Severna Park,Wholesome Bowl,12.15,15.8
575 Ritchie Hwy,1168,Severna Park,Keto Salad Bowl,9.45,12.3
575 Ritchie Hwy,1168,Severna Park,High Protein Bowl,13.25,17.25
575 Ritchie Hwy,1168,Severna Park,Fan Favorite Chicken Bowl,11.15,14.5
575 Ritchie Hwy,1168,Severna Park,Fan Favorite Steak Salad,13.9,18.05
575 Ritchie Hwy,1168,Severna Park,Veggie Full Bowl,9.45,12.3
575 Ritchie Hwy,1168,Severna Park,Fan Favorite Veggie Burrito,9.45,12.3
575 Ritchie Hwy,1168,Severna Park,Plant Powered Bowl,12.15,15.8
575 Ritchie Hwy,1168,Severna Park,Go Half Veggie Bowl,9.45,12.3
12625 Frederick St,1916,Moreno Valley 2,Balanced Macros Bowl,11.6,15.1
12625 Frederick St,1916,Moreno Valley 2,Most Popular Chicken al Pastor Bowl,9.45,12.3
12625 Frederick St,1916,Moreno Valley 2,Wholesome Bowl,11.6,15.1
12625 Frederick St,1916,Moreno Valley 2,Keto Salad Bowl,8.95,11.65
12625 Frederick St,1916,Moreno Valley 2,High Protein Bowl,12.4,16.15
12625 Frederick St,1916,Moreno Valley 2,Fan Favorite Chicken Bowl,10.65,13.85
12625 Frederick St,1916,Moreno Valley 2,Fan Favorite Steak Salad,13.35,17.35
12625 Frederick St,1916,Moreno Valley 2,Veggie Full Bowl,8.95,11.65
12625 Frederick St,1916,Moreno Valley 2,Fan Favorite Veggie Burrito,8.95,11.65
12625 Frederick St,1916,Moreno Valley 2,Plant Powered Bowl,11.6,15.1
12625 Frederick St,1916,Moreno Valley 2,Go Half Veggie Bowl,8.95,11.65
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Balanced Macros Bowl,11.8,15.35
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Most Popular Chicken al Pastor Bowl,9.6,12.5
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Wholesome Bowl,11.8,15.35
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Keto Salad Bowl,9.1,11.85
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,High Protein Bowl,12.65,16.45
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Fan Favorite Chicken Bowl,10.8,14.05
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Fan Favorite Steak Salad,13.55,17.6
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Veggie Full Bowl,9.1,11.85
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Fan Favorite Veggie Burrito,9.1,11.85
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Plant Powered Bowl,11.8,15.35
2895 S Alma School Rd Ste 1,742,Alma School & Queen Creek,Go Half Veggie Bowl,9.1,11.85
944 S Watson Rd,923,Sundance Town Center,Balanced Macros Bowl,11.95,15.55
944 S Watson Rd,923,Sundance Town Center,Most Popular Chicken al Pastor Bowl,9.75,12.7
944 S Watson Rd,923,Sundance Town Center,Wholesome Bowl,11.95,15.55
944 S Watson Rd,923,Sundance Town Center,Keto Salad Bowl,9.25,12.05
944 S Watson Rd,923,Sundance Town Center,High Protein Bowl,12.9,16.8
944 S Watson Rd,923,Sundance Town Center,Fan Favorite Chicken Bowl,10.95,14.25
944 S Watson Rd,923,Sundance Town Center,Fan Favorite Steak Salad,13.7,17.8
944 S Watson Rd,923,Sundance Town Center,Veggie Full Bowl,9.25,12.05
944 S Watson Rd,923,Sundance Town Center,Fan Favorite Veggie Burrito,9.25,12.05
944 S Watson Rd,923,Sundance Town Center,Plant Powered Bowl,11.95,15.55
944 S Watson Rd,923,Sundance Town Center,Go Half Veggie Bowl,9.25,12.05
30024 Haun Rd Ste 130,1229,Menifee,Balanced Macros Bowl,12.4,16.15
30024 Haun Rd Ste 130,1229,Menifee,Most Popular Chicken al Pastor Bowl,10.1,13.15
30024 Haun Rd Ste 130,1229,Menifee,Wholesome Bowl,12.4,16.15
30024 Haun Rd Ste 130,1229,Menifee,Keto Salad Bowl,9.6,12.5
30024 Haun Rd Ste 130,1229,Menifee,High Protein Bowl,13.35,17.4
30024 Haun Rd Ste 130,1229,Menifee,Fan Favorite Chicken Bowl,11.2,14.6
30024 Haun Rd Ste 130,1229,Menifee,Fan Favorite Steak Salad,14.15,18.4
30024 Haun Rd Ste 130,1229,Menifee,Veggie Full Bowl,9.6,12.5
30024 Haun Rd Ste 130,1229,Menifee,Fan Favorite Veggie Burrito,9.6,12.5
30024 Haun Rd Ste 130,1229,Menifee,Plant Powered Bowl,12.4,16.15
30024 Haun Rd Ste 130,1229,Menifee,Go Half Veggie Bowl,9.6,12.5
9925 W McDowell Rd Ste 101,861,99th & McDowell,Balanced Macros Bowl,11.95,15.55
9925 W McDowell Rd Ste 101,861,99th & McDowell,Most Popular Chicken al Pastor Bowl,9.75,12.7
9925 W McDowell Rd Ste 101,861,99th & McDowell,Wholesome Bowl,11.95,15.55
9925 W McDowell Rd Ste 101,861,99th & McDowell,Keto Salad Bowl,9.25,12.05
9925 W McDowell Rd Ste 101,861,99th & McDowell,High Protein Bowl,12.9,16.8
9925 W McDowell Rd Ste 101,861,99th & McDowell,Fan Favorite Chicken Bowl,10.95,14.25
9925 W McDowell Rd Ste 101,861,99th & McDowell,Fan Favorite Steak Salad,13.7,17.8
9925 W McDowell Rd Ste 101,861,99th & McDowell,Veggie Full Bowl,9.25,12.05
9925 W McDowell Rd Ste 101,861,99th & McDowell,Fan Favorite Veggie Burrito,9.25,12.05
9925 W McDowell Rd Ste 101,861,99th & McDowell,Plant Powered Bowl,11.95,15.55
9925 W McDowell Rd Ste 101,861,99th & McDowell,Go Half Veggie Bowl,9.25,12.05
26440 Ynez Rd Ste B,2434,Temecula,Balanced Macros Bowl,12.4,16.15
26440 Ynez Rd Ste B,2434,Temecula,Most Popular Chicken al Pastor Bowl,10.1,13.15
26440 Ynez Rd Ste B,2434,Temecula,Wholesome Bowl,12.4,16.15
26440 Ynez Rd Ste B,2434,Temecula,Keto Salad Bowl,9.6,12.5
26440 Ynez Rd Ste B,2434,Temecula,High Protein Bowl,13.35,17.4
26440 Ynez Rd Ste B,2434,Temecula,Fan Favorite Chicken Bowl,11.2,14.6
26440 Ynez Rd Ste B,2434,Temecula,Fan Favorite Steak Salad,14.15,18.4
