Address,restaurantNumber,restaurantName,Item Name,Item Type,Item Price,Item Delivery Price,Protein
10387 S State St,1104,Sandy,Chicken Taco,Tacos,9.1,11.85,Chicken
10387 S State St,1104,Sandy,Carnitas Taco,Tacos,9.75,12.7,Carnitas
10387 S State St,1104,Sandy,Veggie Taco,Tacos,9.1,11.85,Veggie
10387 S State St,1104,Sandy,Beef Barbacoa Taco,Tacos,10.85,14.1,Beef Barbacoa
10387 S State St,1104,Sandy,Sofritas Taco,Tacos,9.1,11.85,Sofritas
10387 S State St,1104,Sandy,Chicken al Pastor Taco,Tacos,3.45,4.5,Chicken al Pastor
10387 S State St,1104,Sandy,Chicken al Pastor Taco,Tacos,9.6,12.5,Chicken al Pastor
10387 S State St,1104,Sandy,Veggie Taco,Tacos,3.25,4.25,Veggie
10387 S State St,1104,Sandy,Carnitas Taco,Tacos,3.45,4.5,Carnitas
10387 S State St,1104,Sandy,Beef Barbacoa Taco,Tacos,3.9,5.05,Beef Barbacoa
10387 S State St,1104,Sandy,Chicken Taco,Tacos,3.25,4.25,Chicken
10387 S State St,1104,Sandy,Steak Taco,Tacos,3.9,5.05,Steak
10387 S State St,1104,Sandy,Sofritas Taco,Tacos,3.25,4.25,Sofritas
10387 S State St,1104,Sandy,Steak Bowl,Bowl,10.85,14.1,Steak
10387 S State St,1104,Sandy,Chicken Bowl,Bowl,9.1,11.85,Chicken
10387 S State St,1104,Sandy,Carnitas Bowl,Bowl,9.75,12.7,Carnitas
10387 S State St,1104,Sandy,Veggie Bowl,Bowl,9.1,11.85,Veggie
10387 S State St,1104,Sandy,Beef Barbacoa Bowl,Bowl,10.85,14.1,Beef Barbacoa
10387 S State St,1104,Sandy,Chicken al Pastor Bowl,Bowl,9.6,12.5,Chicken al Pastor
10387 S State St,1104,Sandy,Sofritas Bowl,Bowl,9.1,11.85,Sofritas
10387 S State St,1104,Sandy,Steak Salad,Salad,10.85,14.1,Steak
10387 S State St,1104,Sandy,Chicken Salad,Salad,9.1,11.85,Chicken
10387 S State St,1104,Sandy,Carnitas Salad,Salad,9.75,12.7,Carnitas
10387 S State St,1104,Sandy,Beef Barbacoa Salad,Salad,10.85,14.1,Beef Barbacoa
10387 S State St,1104,Sandy,Veggie Salad,Salad,9.1,11.85,Veggie
10387 S State St,1104,Sandy,Sofritas Salad,Salad,9.1,11.85,Sofritas
10387 S State St,1104,Sandy,Chicken al Pastor Salad,Salad,9.6,12.5,Chicken al Pastor
10387 S State St,1104,Sandy,Cheese Kids Build Your Own,KidsBYO,5.6,7.3,Cheese
10387 S State St,1104,Sandy,Chicken Kids Build Your Own,KidsBYO,5.6,7.3,Chicken
10387 S State St,1104,Sandy,Steak Kids Build Your Own,KidsBYO,5.6,7.3,Steak
10387 S State St,1104,Sandy,Carnitas Kids Build Your Own,KidsBYO,5.6,7.3,Carnitas
10387 S State St,1104,Sandy,Beef Barbacoa Kids Build Your Own,KidsBYO,5.6,7.3,Beef Barbacoa
10387 S State St,1104,Sandy,Sofritas Kids Build Your Own,KidsBYO,5.6,7.3,Sofritas
10387 S State St,1104,Sandy,Chicken al Pastor Kids Build Your Own,KidsBYO,5.6,7.3,Chicken al Pastor
10387 S State St,1104,Sandy,Guacamole Kids Build Your Own,KidsBYO,5.6,7.3,Guacamole
10387 S State St,1104,Sandy,Queso Blanco Kids Build Your Own,KidsBYO,5.6,7.3,Queso Blanco
10387 S State St,1104,Sandy,Cheese Only Kids Quesadilla,KidsQuesadilla,4.4,5.7,Cheese Only
10387 S State St,1104,Sandy,Chicken Kids Quesadilla,KidsQuesadilla,4.95,6.45,Chicken
10387 S State St,1104,Sandy,Steak Kids Quesadilla,KidsQuesadilla,4.95,6.45,Steak
10387 S State St,1104,Sandy,Carnitas Kids Quesadilla,KidsQuesadilla,4.95,6.45,Carnitas
10387 S State St,1104,Sandy,Beef Barbacoa Kids Quesadilla,KidsQuesadilla,4.95,6.45,Beef Barbacoa
10387 S State St,1104,Sandy,Sofritas Kids Quesadilla,KidsQuesadilla,4.95,6.45,Sofritas
10387 S State St,1104,Sandy,Guacamole Kids Quesadilla,KidsQuesadilla,4.95,6.45,Guacamole
10387 S State St,1104,Sandy,Chicken al Pastor Kids Quesadilla,KidsQuesadilla,4.95,6.45,Chicken al Pastor
10387 S State St,1104,Sandy,Carnitas Quesadilla,Quesadilla,10.3,13.4,Carnitas
10387 S State St,1104,Sandy,Beef Barbacoa Quesadilla,Quesadilla,11.4,14.8,Beef Barbacoa
